# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-11-02 04:17:13 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 08220000 RIO GRANDE NEAR DEL NORTE, CO
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 08220000
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    18268       00060        00003      -1             Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#
agency_cd	site_no	datetime	18268_00060_00003	18268_00060_00003_cd
USGS	08220000	2005-03-05	201	A
USGS	08220000	2005-03-06	201	A
USGS	08220000	2005-03-07	208	A
USGS	08220000	2005-03-08	218	A
USGS	08220000	2005-03-09	233	A
USGS	08220000	2005-03-10	262	A
USGS	08220000	2005-03-11	285	A:e
USGS	08220000	2005-03-12	320	A:e
USGS	08220000	2005-03-13	350	A:e
USGS	08220000	2005-03-14	340	A:e
USGS	08220000	2005-03-15	320	A:e
USGS	08220000	2005-03-16	272	A
USGS	08220000	2005-03-17	257	A
USGS	08220000	2005-03-18	272	A
USGS	08220000	2005-03-19	255	A
USGS	08220000	2005-03-20	266	A
USGS	08220000	2005-03-21	255	A
USGS	08220000	2005-03-22	245	A
USGS	08220000	2005-03-23	277	A
USGS	08220000	2005-03-24	270	A
USGS	08220000	2005-03-25	255	A
USGS	08220000	2005-03-26	248	A
USGS	08220000	2005-03-27	239	A
USGS	08220000	2005-03-28	284	A
USGS	08220000	2005-03-29	305	A
USGS	08220000	2005-03-30	270	A
USGS	08220000	2005-03-31	243	A
USGS	08220000	2005-04-01	235	A
USGS	08220000	2005-04-02	275	A
USGS	08220000	2005-04-03	344	A
USGS	08220000	2005-04-04	401	A
USGS	08220000	2005-04-05	424	A
USGS	08220000	2005-04-06	430	A
USGS	08220000	2005-04-07	576	A
USGS	08220000	2005-04-08	705	A
USGS	08220000	2005-04-09	643	A
USGS	08220000	2005-04-10	569	A
USGS	08220000	2005-04-11	520	A
USGS	08220000	2005-04-12	489	A
USGS	08220000	2005-04-13	551	A
USGS	08220000	2005-04-14	696	A
USGS	08220000	2005-04-15	940	A
USGS	08220000	2005-04-16	1040	A
USGS	08220000	2005-04-17	1190	A
USGS	08220000	2005-04-18	1300	A
USGS	08220000	2005-04-19	1590	A
USGS	08220000	2005-04-20	1670	A
USGS	08220000	2005-04-21	1590	A
USGS	08220000	2005-04-22	1570	A
USGS	08220000	2005-04-23	1600	A
USGS	08220000	2005-04-24	1970	A
USGS	08220000	2005-04-25	1860	A
USGS	08220000	2005-04-26	1680	A
USGS	08220000	2005-04-27	1500	A
USGS	08220000	2005-04-28	1360	A
USGS	08220000	2005-04-29	1270	A
USGS	08220000	2005-04-30	1110	A
USGS	08220000	2005-05-01	1240	A
USGS	08220000	2005-05-02	1280	A
USGS	08220000	2005-05-03	1320	A
USGS	08220000	2005-05-04	1340	A
USGS	08220000	2005-05-05	1410	A
USGS	08220000	2005-05-06	1580	A
USGS	08220000	2005-05-07	1840	A
USGS	08220000	2005-05-08	1930	A
USGS	08220000	2005-05-09	2000	A
USGS	08220000	2005-05-10	2420	A
USGS	08220000	2005-05-11	3020	A
USGS	08220000	2005-05-12	2760	A
USGS	08220000	2005-05-13	2450	A
USGS	08220000	2005-05-14	2380	A
USGS	08220000	2005-05-15	2410	A
USGS	08220000	2005-05-16	2840	A
USGS	08220000	2005-05-17	3810	A
USGS	08220000	2005-05-18	4290	A
USGS	08220000	2005-05-19	4750	A
USGS	08220000	2005-05-20	5440	A
USGS	08220000	2005-05-21	6310	A
USGS	08220000	2005-05-22	7200	A
USGS	08220000	2005-05-23	6900	A
USGS	08220000	2005-05-24	6530	A
USGS	08220000	2005-05-25	6420	A
USGS	08220000	2005-05-26	6500	A
USGS	08220000	2005-05-27	6820	A
USGS	08220000	2005-05-28	6370	A
USGS	08220000	2005-05-29	5910	A
USGS	08220000	2005-05-30	5750	A
USGS	08220000	2005-05-31	5610	A
USGS	08220000	2005-06-01	5470	A
USGS	08220000	2005-06-02	5560	A
USGS	08220000	2005-06-03	5570	A
USGS	08220000	2005-06-04	4970	A
USGS	08220000	2005-06-05	4400	A
USGS	08220000	2005-06-06	4290	A
USGS	08220000	2005-06-07	4380	A
USGS	08220000	2005-06-08	4360	A
USGS	08220000	2005-06-09	4330	A
USGS	08220000	2005-06-10	4070	A
USGS	08220000	2005-06-11	3840	A
USGS	08220000	2005-06-12	3810	A
USGS	08220000	2005-06-13	3540	A
USGS	08220000	2005-06-14	3490	A
USGS	08220000	2005-06-15	3700	A
USGS	08220000	2005-06-16	3970	A
USGS	08220000	2005-06-17	4090	A
USGS	08220000	2005-06-18	4010	A
USGS	08220000	2005-06-19	4040	A
USGS	08220000	2005-06-20	3970	A
USGS	08220000	2005-06-21	3890	A
USGS	08220000	2005-06-22	3900	A
USGS	08220000	2005-06-23	3910	A
USGS	08220000	2005-06-24	3810	A
USGS	08220000	2005-06-25	3710	A
USGS	08220000	2005-06-26	3860	A
USGS	08220000	2005-06-27	3650	A
USGS	08220000	2005-06-28	3420	A
USGS	08220000	2005-06-29	3350	A
USGS	08220000	2005-06-30	3250	A
USGS	08220000	2005-07-01	3220	A
USGS	08220000	2005-07-02	3080	A
USGS	08220000	2005-07-03	3020	A
USGS	08220000	2005-07-04	2890	A
USGS	08220000	2005-07-05	2800	A
USGS	08220000	2005-07-06	2730	A
USGS	08220000	2005-07-07	2670	A
USGS	08220000	2005-07-08	2420	A
USGS	08220000	2005-07-09	2390	A
USGS	08220000	2005-07-10	2140	A
USGS	08220000	2005-07-11	1730	A
USGS	08220000	2005-07-12	1500	A
USGS	08220000	2005-07-13	1200	A
USGS	08220000	2005-07-14	1090	A
USGS	08220000	2005-07-15	969	A
USGS	08220000	2005-07-16	899	A
USGS	08220000	2005-07-17	869	A
USGS	08220000	2005-07-18	835	A
USGS	08220000	2005-07-19	782	A
USGS	08220000	2005-07-20	728	A
USGS	08220000	2005-07-21	712	A
USGS	08220000	2005-07-22	715	A
USGS	08220000	2005-07-23	697	A
USGS	08220000	2005-07-24	759	A
USGS	08220000	2005-07-25	720	A
USGS	08220000	2005-07-26	748	A
USGS	08220000	2005-07-27	682	A
USGS	08220000	2005-07-28	666	A
USGS	08220000	2005-07-29	606	A
USGS	08220000	2005-07-30	553	A
USGS	08220000	2005-07-31	499	A
USGS	08220000	2005-08-01	464	A
USGS	08220000	2005-08-02	447	A
USGS	08220000	2005-08-03	448	A
USGS	08220000	2005-08-04	467	A
USGS	08220000	2005-08-05	584	A
USGS	08220000	2005-08-06	677	A
USGS	08220000	2005-08-07	633	A
USGS	08220000	2005-08-08	597	A
USGS	08220000	2005-08-09	503	A
USGS	08220000	2005-08-10	469	A
USGS	08220000	2005-08-11	486	A
USGS	08220000	2005-08-12	686	A
USGS	08220000	2005-08-13	734	A
USGS	08220000	2005-08-14	680	A
USGS	08220000	2005-08-15	604	A
USGS	08220000	2005-08-16	582	A
USGS	08220000	2005-08-17	585	A
USGS	08220000	2005-08-18	535	A
USGS	08220000	2005-08-19	514	A
USGS	08220000	2005-08-20	463	A
USGS	08220000	2005-08-21	429	A
USGS	08220000	2005-08-22	413	A
USGS	08220000	2005-08-23	400	A
USGS	08220000	2005-08-24	398	A
USGS	08220000	2005-08-25	396	A
USGS	08220000	2005-08-26	419	A
USGS	08220000	2005-08-27	417	A
USGS	08220000	2005-08-28	426	A
USGS	08220000	2005-08-29	379	A
USGS	08220000	2005-08-30	333	A
USGS	08220000	2005-08-31	292	A
USGS	08220000	2005-09-01	264	A
USGS	08220000	2005-09-02	268	A
USGS	08220000	2005-09-03	293	A
USGS	08220000	2005-09-04	325	A
USGS	08220000	2005-09-05	352	A
USGS	08220000	2005-09-06	339	A
USGS	08220000	2005-09-07	339	A
USGS	08220000	2005-09-08	334	A
USGS	08220000	2005-09-09	359	A
USGS	08220000	2005-09-10	414	A
USGS	08220000	2005-09-11	417	A
USGS	08220000	2005-09-12	365	A
USGS	08220000	2005-09-13	337	A
USGS	08220000	2005-09-14	310	A
USGS	08220000	2005-09-15	309	A
USGS	08220000	2005-09-16	299	A
USGS	08220000	2005-09-17	268	A
USGS	08220000	2005-09-18	239	A
USGS	08220000	2005-09-19	232	A
USGS	08220000	2005-09-20	214	A
USGS	08220000	2005-09-21	217	A
USGS	08220000	2005-09-22	239	A
USGS	08220000	2005-09-23	280	A
USGS	08220000	2005-09-24	325	A
USGS	08220000	2005-09-25	305	A
USGS	08220000	2005-09-26	263	A
USGS	08220000	2005-09-27	247	A
USGS	08220000	2005-09-28	425	A
USGS	08220000	2005-09-29	543	A
USGS	08220000	2005-09-30	671	A
USGS	08220000	2005-10-01	825	A
USGS	08220000	2005-10-02	640	A
USGS	08220000	2005-10-03	541	A
USGS	08220000	2005-10-04	573	A
USGS	08220000	2005-10-05	1050	A
USGS	08220000	2005-10-06	926	A
USGS	08220000	2005-10-07	967	A
USGS	08220000	2005-10-08	777	A
USGS	08220000	2005-10-09	901	A
USGS	08220000	2005-10-10	928	A
USGS	08220000	2005-10-11	826	A
USGS	08220000	2005-10-12	791	A
USGS	08220000	2005-10-13	750	A
USGS	08220000	2005-10-14	723	A
USGS	08220000	2005-10-15	688	A
USGS	08220000	2005-10-16	636	A
USGS	08220000	2005-10-17	602	A
USGS	08220000	2005-10-18	609	A
USGS	08220000	2005-10-19	768	A
USGS	08220000	2005-10-20	850	A
USGS	08220000	2005-10-21	801	A
USGS	08220000	2005-10-22	730	A
USGS	08220000	2005-10-23	692	A
USGS	08220000	2005-10-24	637	A
USGS	08220000	2005-10-25	613	A
USGS	08220000	2005-10-26	606	A
USGS	08220000	2005-10-27	594	A
USGS	08220000	2005-10-28	594	A
USGS	08220000	2005-10-29	578	A
USGS	08220000	2005-10-30	538	A
USGS	08220000	2005-10-31	486	A
USGS	08220000	2005-11-01	462	A
USGS	08220000	2005-11-02	378	A
USGS	08220000	2005-11-03	351	A
USGS	08220000	2005-11-04	325	A
USGS	08220000	2005-11-05	312	A
USGS	08220000	2005-11-06	300	A
USGS	08220000	2005-11-07	310	A
USGS	08220000	2005-11-08	320	A
USGS	08220000	2005-11-09	306	A
USGS	08220000	2005-11-10	304	A
USGS	08220000	2005-11-11	310	A
USGS	08220000	2005-11-12	315	A
USGS	08220000	2005-11-13	295	A
USGS	08220000	2005-11-14	293	A
USGS	08220000	2005-11-15	286	A
USGS	08220000	2005-11-16	217	A
USGS	08220000	2005-11-17	247	A
USGS	08220000	2005-11-18	261	A
USGS	08220000	2005-11-19	256	A
USGS	08220000	2005-11-20	233	A
USGS	08220000	2005-11-21	232	A
USGS	08220000	2005-11-22	239	A
USGS	08220000	2005-11-23	221	A
USGS	08220000	2005-11-24	225	A
USGS	08220000	2005-11-25	222	A
USGS	08220000	2005-11-26	210	A
USGS	08220000	2005-11-27	214	A
USGS	08220000	2005-11-28	172	A
USGS	08220000	2005-11-29	122	A
USGS	08220000	2005-11-30	160	A:e
USGS	08220000	2005-12-01	210	A:e
USGS	08220000	2005-12-02	220	A:e
USGS	08220000	2005-12-03	210	A:e
USGS	08220000	2005-12-04	190	A:e
USGS	08220000	2005-12-05	170	A:e
USGS	08220000	2005-12-06	180	A:e
USGS	08220000	2005-12-07	180	A:e
USGS	08220000	2005-12-08	160	A:e
USGS	08220000	2005-12-09	180	A:e
USGS	08220000	2005-12-10	190	A:e
USGS	08220000	2005-12-11	200	A:e
USGS	08220000	2005-12-12	200	A:e
USGS	08220000	2005-12-13	210	A:e
USGS	08220000	2005-12-14	190	A:e
USGS	08220000	2005-12-15	170	A:e
USGS	08220000	2005-12-16	170	A:e
USGS	08220000	2005-12-17	180	A:e
USGS	08220000	2005-12-18	190	A:e
USGS	08220000	2005-12-19	200	A:e
USGS	08220000	2005-12-20	200	A:e
USGS	08220000	2005-12-21	200	A:e
USGS	08220000	2005-12-22	200	A:e
USGS	08220000	2005-12-23	210	A:e
USGS	08220000	2005-12-24	210	A:e
USGS	08220000	2005-12-25	200	A:e
USGS	08220000	2005-12-26	200	A:e
USGS	08220000	2005-12-27	200	A:e
USGS	08220000	2005-12-28	190	A:e
USGS	08220000	2005-12-29	200	A:e
USGS	08220000	2005-12-30	180	A:e
USGS	08220000	2005-12-31	190	A:e
